28.01.2020 03:14:33: 1h 15min | [1k-40] Jose Santana(76561198206026112) | Stealth / Invisible - 1
28.01.2020 03:18:00: 1h 18min | [1k-40] Jose Santana(76561198206026112) | Stealth / Invisible - 0
28.01.2020 03:19:17: 1h 20min | Boyevik Butch-Mac Volkev(76561198089960350) | Revive - civ_3(76561197999316388)
28.01.2020 03:26:11: 1h 26min | Donnie Turbo(76561198041233395) | Teleport to [3526.8,2994.23,0](GPS: 035999)
28.01.2020 03:31:38: 1h 32min | H̩ctor "Lil Loco" Arturo(76561197999316388) | UnlimAmmo - 0
28.01.2020 03:34:18: 1h 35min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - C_man_1
28.01.2020 03:34:29: 1h 35min | [1k-40] Jose Santana(76561198206026112) | Teleport - Me To Target - Donnie Turbo [CIV](76561198041233395)
28.01.2020 03:38:31: 1h 39min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport to [3661.15,3240.63,0](GPS: 036001)
28.01.2020 03:38:39: 1h 39min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Revive - civ_3(76561197999316388)
28.01.2020 03:38:52: 1h 39min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Deleting d3s_g63amg_18 @036001..
28.01.2020 03:39:07: 1h 39min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3736.24,3312.27,0](GPS: 037002)
28.01.2020 03:41:05: 1h 41min | [1k-40] Jose Santana(76561198206026112) | Teleport to [3890.18,3248.12,0](GPS: 038001)
28.01.2020 03:43:28: 1h 44min | Donnie Turbo(76561198041233395) | Stealth / Invisible - 1
28.01.2020 03:47:34: 1h 48min | Donnie Turbo(76561198041233395) | Restore - civ_1(76561198180893505)
28.01.2020 03:48:00: 1h 48min | Donnie Turbo(76561198041233395) | Teleport to [3506.04,2996.32,0](GPS: 035999)
28.01.2020 03:48:12: 1h 48min | Donnie Turbo(76561198041233395) | Stealth / Invisible - 0
28.01.2020 03:52:59: 1h 53min | Boyevik Butch-Mac Volkev(76561198089960350) | HealRepairNear
28.01.2020 03:56:47: 1h 57min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Zander Marino(76561198180893505) - C_man_1
28.01.2020 03:59:13: 1h 59min | Donnie Turbo(76561198041233395) | spawning FN Five-seven (RH_fn57)
28.01.2020 03:59:24: 1h 60min | Donnie Turbo(76561198041233395) | spawning FN Five-seven (RH_fn57)
28.01.2020 03:59:38: 1h 60min | Donnie Turbo(76561198041233395) | spawning FN Five-seven ODG (RH_fn57_g)
28.01.2020 04:00:15: 2h 0min | Donnie Turbo(76561198041233395) | spawning FN Five-seven (RH_fn57)
28.01.2020 04:00:31: 2h 1min | Donnie Turbo(76561198041233395) | spawning FN Five-seven FDE (RH_fn57_t)
28.01.2020 04:00:39: 2h 1min | Donnie Turbo(76561198041233395) | spawning FN Five-seven ODG (RH_fn57_g)
28.01.2020 04:00:44: 2h 1min | Donnie Turbo(76561198041233395) | spawning FN Five-seven (RH_fn57)
28.01.2020 04:00:53: 2h 1min | Donnie Turbo(76561198041233395) | spawning FNP45 Tactical Tan (RH_fnp45t)
28.01.2020 04:01:07: 2h 1min | Donnie Turbo(76561198041233395) | spawning 4-five .45 ACP (hgun_Pistol_heavy_01_F)
28.01.2020 04:01:10: 2h 1min | Donnie Turbo(76561198041233395) | spawning 4-five .45 ACP (hgun_Pistol_heavy_01_F)
